issue_id,os_version,crash_time,device_id,crash_reason,crash_exception
007e67b0345964613046a3814b214bca,5,1613476473,48035609353,Failed to allocate a 2235120 byte allocation with 1724248 free bytes and 1683KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,5,1611213024,13025859933,Failed to allocate a 2235120 byte allocation with 1679185 free bytes and 1639KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,6,1612512155,46625267773,Failed to allocate a 428436 byte allocation with 410128 free bytes and 392KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,6,1609402798,62055573180,Failed to allocate a 38766 byte allocation with 3952 free bytes and 3KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,6,1612520297,52201234511,Failed to allocate a 38766 byte allocation with 32064 free bytes and 31KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,6,1612599867,48542369866,Failed to allocate a 3352678 byte allocation with 2186592 free bytes and 2MB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,6,1610716783,37206968685,Failed to allocate a 3352678 byte allocation with 1781152 free bytes and 1739KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,6,1614697623,37428388913,Failed to allocate a 17232 byte allocation with 7768 free bytes and 7KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,7,1613313088,35447067777,Failed to allocate a 147464 byte allocation with 15616 free bytes and 15KB until OOM,java.lang.OutOfMemoryError
007e67b0345964613046a3814b214bca,7,1608540185,51266390682,Failed to allocate a 1471160 byte allocation with 315936 free bytes and 308KB until OOM,java.lang.OutOfMemoryError
008684a8da71cc8dec892f36f2b80f03,9,1611672982,61336195819,"Failed to allocate a 32 byte allocation with 8388608 free bytes and 11MB until OOM	 max allowed footprint 533048264	 growth limit 536870912; failed due to fragmentation (largest possible contiguous allocation 0 bytes)",java.lang.OutOfMemoryError
008c108a53bb3851d7a2a2fc2e7cfe5b,5,1602132072,36725683338,Failed to allocate a 96 byte allocation with 0 free bytes and 3GB until OOM,java.lang.OutOfMemoryError
